shipment_id,dispatch_timestamp,delivered_timestamp,status
SHIP00295,2024-03-15T00:00:00Z,NA,In Transit
SHIP00496,NA,NA,Ready for Dispatch
SHIP00129,2024-02-20T00:00:00Z,2024-02-25T00:00:00Z,Delivered
SHIP00643,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00417,2024-03-15T00:00:00Z,NA,In Transit
SHIP00236,2024-02-04T00:00:00Z,2024-02-09T00:00:00Z,Delivered
SHIP00887,2024-03-15T00:00:00Z,NA,In Transit
SHIP00904,2024-03-15T00:00:00Z,NA,In Transit
SHIP00657,2024-03-15T00:00:00Z,NA,In Transit
SHIP00900,2024-03-15T00:00:00Z,NA,In Transit
SHIP00558,2024-02-04T00:00:00Z,2024-02-09T00:00:00Z,Delivered
SHIP00912,2024-02-23T00:00:00Z,2024-02-28T00:00:00Z,Delivered
SHIP00982,2024-02-14T00:00:00Z,2024-02-19T00:00:00Z,Delivered
SHIP00051,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00411,2024-02-25T00:00:00Z,2024-03-01T00:00:00Z,Delivered
SHIP00083,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00817,NA,NA,Ready for Dispatch
SHIP00353,2024-02-08T00:00:00Z,2024-02-13T00:00:00Z,Delivered
SHIP00761,NA,NA,Ready for Dispatch
SHIP00797,NA,NA,Ready for Dispatch
SHIP00427,2024-02-29T00:00:00Z,2024-03-05T00:00:00Z,Delivered
SHIP00744,NA,NA,Ready for Dispatch
SHIP00140,2024-03-15T00:00:00Z,NA,In Transit
SHIP00304,2024-02-02T00:00:00Z,2024-02-07T00:00:00Z,Delivered
SHIP00053,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00708,2024-03-15T00:00:00Z,NA,In Transit
SHIP00203,2024-03-15T00:00:00Z,NA,In Transit
SHIP00259,2024-02-05T00:00:00Z,2024-02-10T00:00:00Z,Delivered
SHIP00576,NA,NA,Ready for Dispatch
SHIP00507,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00052,2024-03-15T00:00:00Z,NA,In Transit
SHIP00256,2024-03-15T00:00:00Z,NA,In Transit
SHIP00957,NA,NA,Ready for Dispatch
SHIP00364,NA,NA,Ready for Dispatch
SHIP00882,2024-03-15T00:00:00Z,NA,In Transit
SHIP00325,2024-02-25T00:00:00Z,2024-03-01T00:00:00Z,Delivered
SHIP00923,2024-03-15T00:00:00Z,NA,In Transit
SHIP00663,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00690,NA,NA,Ready for Dispatch
SHIP00742,NA,NA,Ready for Dispatch
SHIP00602,2024-03-15T00:00:00Z,NA,In Transit
SHIP00804,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00903,2024-03-16T00:00:00Z,NA,Out for Delivery
SHIP00369,2024-03-16T00:00:00Z,NA,Out for Delivery
