order_id,customer_id,product_id,gift_card_id,payment_method,quantity,order_timestamp,payment_timestamp,order_status,shipment_id
ORD-0001,01HQZS38YBSDA3RJ0RT9AT3AA7,2183-bnm-4747,NA,PayPal,4,2024-02-01T00:00:00Z,2024-02-02T18:00:00Z,Shipped,SHIP00295
ORD-0002,01HQZS3A8D921V4PC8R1SCNXXA,2658-nib-8410,NA,NA,1,2024-02-05T00:00:00Z,2024-02-05T03:00:00Z,Pending Payment,NA
ORD-0003,01HQZS39F451Z7XKPKDSFVC9XS,4919-dit-2935,15ab6b33-e9db-485e-b0bd-b51fb10e9ae7,Gift Card,3,2024-02-02T00:00:00Z,2024-02-03T04:00:00Z,Processing,SHIP00496
ORD-0004,01HQZS38RM856ZNM5P617RFM0W,8396-fjt-9291,623c535f-602f-48e6-a5a7-a5802586c06b,Gift Card,1,2024-02-19T00:00:00Z,2024-02-19T09:00:00Z,Delivered,SHIP00129
ORD-0005,01HQZS39R51SVV41TZN1PHCRB4,9786-afp-1463,NA,Credit Card,1,2024-02-20T00:00:00Z,2024-02-21T23:00:00Z,Out for Delivery,SHIP00643
ORD-0006,01HQZS39DJSQHXNYSYEYA1V1BF,3047-avs-9648,NA,Credit Card,4,2024-02-01T00:00:00Z,2024-02-03T13:00:00Z,Shipped,SHIP00417
ORD-0007,01HQZS39EGQ1606P9RMN3PXQ0P,5116-vjq-2956,NA,Debit Card,5,2024-02-17T00:00:00Z,2024-02-19T05:00:00Z,Cancelled,NA
ORD-0008,01HQZS39DMN8WYAP4086FZGP7A,0989-puw-7394,NA,NA,3,2024-02-04T00:00:00Z,2024-02-05T03:00:00Z,Pending Payment,NA
ORD-0009,01HQZS38RM856ZNM5P617RFM0W,4895-nnr-6380,NA,Credit Card,1,2024-02-22T00:00:00Z,2024-02-23T04:00:00Z,Cancelled,NA
ORD-0010,01HQZS38X281N3C89KS61H3ZVS,4895-nnr-6380,NA,Credit Card,5,2024-02-04T00:00:00Z,2024-02-06T01:00:00Z,Delivered,SHIP00236
ORD-0011,01HQZS3ACDJZD6QTEC132F7NSJ,7725-oen-4925,NA,PayPal,1,2024-02-22T00:00:00Z,2024-02-23T00:00:00Z,Shipped,SHIP00887
ORD-0012,01HQZS3ACMRNXCXYEBVGYF4AH4,2746-qzu-7414,NA,PayPal,5,2024-02-14T00:00:00Z,2024-02-15T09:00:00Z,Shipped,SHIP00904
ORD-0013,01HQZS3A4PFHZCJBQ5JEN1Q9Y6,2815-ert-8256,NA,Credit Card,1,2024-02-25T00:00:00Z,2024-02-25T16:00:00Z,Shipped,SHIP00657
ORD-0014,01HQZS3ACMRNXCXYEBVGYF4AH4,7197-oxg-8083,NA,Debit Card,2,2024-02-20T00:00:00Z,2024-02-21T18:00:00Z,Shipped,SHIP00900
ORD-0015,01HQZS39JTXWR305VZ8JZX342W,3448-zlg-3622,NA,PayPal,5,2024-02-04T00:00:00Z,2024-02-05T12:00:00Z,Delivered,SHIP00558
ORD-0016,01HQZS3ACT7VQEQ9TRK3S38NSD,2179-kqi-1903,NA,Debit Card,1,2024-02-22T00:00:00Z,2024-02-25T00:00:00Z,Delivered,SHIP00912
ORD-0017,01HQZS38QJBCBRXYQCFV4SN48Q,7822-ldb-4335,NA,NA,5,2024-02-10T00:00:00Z,2024-02-11T07:00:00Z,Pending Payment,NA
ORD-0018,01HQZS3ADAR9Z4QW94SJCE7WGJ,8716-cfp-4500,NA,Credit Card,1,2024-02-18T00:00:00Z,2024-02-20T01:00:00Z,Cancelled,NA
ORD-0019,01HQZS3AEAY0505E0S36TJ2FXV,4163-cos-4183,ef8f6e03-7fec-4bb7-bd6d-f742190ae77d,Gift Card,4,2024-02-14T00:00:00Z,2024-02-16T13:00:00Z,Delivered,SHIP00982
ORD-0020,01HQZS3A60MK2C9GJEBKJ1T82V,8396-fjt-9291,NA,NA,4,2024-02-24T00:00:00Z,2024-02-25T12:00:00Z,Pending Payment,NA
ORD-0021,01HQZS38X6AS3MVQ7D55XBCRWH,6809-rbv-8821,NA,NA,4,2024-02-01T00:00:00Z,2024-02-01T11:00:00Z,Pending Payment,NA
ORD-0022,01HQZS38PMDVKB1S9SK6ZAJ6GG,6895-qwg-9407,NA,PayPal,5,2024-02-26T00:00:00Z,2024-02-28T08:00:00Z,Out for Delivery,SHIP00051
ORD-0023,01HQZS39DJSQHXNYSYEYA1V1BF,9103-pfw-2928,0c6d52e6-43d1-468a-90c1-98953543102c,Gift Card,2,2024-02-24T00:00:00Z,2024-02-25T20:00:00Z,Delivered,SHIP00411
ORD-0024,01HQZS38QJBCBRXYQCFV4SN48Q,5004-ezb-9817,NA,Debit Card,2,2024-02-21T00:00:00Z,2024-02-21T04:00:00Z,Out for Delivery,SHIP00083
ORD-0025,01HQZS3AA5B6Q0ZGTDH6M8HP1G,2746-qzu-7414,NA,PayPal,5,2024-02-04T00:00:00Z,2024-02-05T18:00:00Z,Processing,SHIP00817
ORD-0026,01HQZS39C4CP9WYFXBCMDF1MFP,5813-uxb-8888,NA,Debit Card,3,2024-02-08T00:00:00Z,2024-02-09T20:00:00Z,Delivered,SHIP00353
ORD-0027,01HQZS3A8B99WSFARKSXWB5XR4,6895-qwg-9407,NA,PayPal,5,2024-02-26T00:00:00Z,2024-02-28T11:00:00Z,Processing,SHIP00761
ORD-0028,01HQZS3A98YQAJT8W2FG6CQXH2,5546-xzt-7707,NA,Debit Card,5,2024-02-16T00:00:00Z,2024-02-18T18:00:00Z,Processing,SHIP00797
ORD-0029,01HQZS39DMN8WYAP4086FZGP7A,7725-oen-4925,5c6f9c02-f13b-4584-870a-18dfacdc4ab1,Gift Card,5,2024-02-28T00:00:00Z,2024-03-01T12:00:00Z,Delivered,SHIP00427
ORD-0030,01HQZS3A7SBWQ5J00MDQBSQZVM,4127-qla-0411,35084f37-109f-475f-aeda-28aed6a9be56,Gift Card,1,2024-02-18T00:00:00Z,2024-02-18T19:00:00Z,Processing,SHIP00744
ORD-0031,01HQZS38RX3DP4C776K8W3G24B,5747-sbn-8882,NA,Credit Card,2,2024-02-22T00:00:00Z,2024-02-24T16:00:00Z,Shipped,SHIP00140
ORD-0032,01HQZS38Z5N9EWH13VYQJ8BK9X,1621-tzo-6773,NA,Credit Card,2,2024-02-02T00:00:00Z,2024-02-02T17:00:00Z,Delivered,SHIP00304
ORD-0033,01HQZS38PMDVKB1S9SK6ZAJ6GG,0239-sss-2251,NA,PayPal,1,2024-02-26T00:00:00Z,2024-02-27T22:00:00Z,Out for Delivery,SHIP00053
ORD-0034,01HQZS38QJBCBRXYQCFV4SN48Q,3980-wjg-3690,NA,NA,3,2024-02-14T00:00:00Z,2024-02-14T08:00:00Z,Pending Payment,NA
ORD-0035,01HQZS39DEQDTJC46WNPM76N2G,3835-may-3630,73800ff8-3711-4729-8225-87bc162984cc,Gift Card,4,2024-02-01T00:00:00Z,2024-02-03T05:00:00Z,Cancelled,NA
ORD-0036,01HQZS3A6YSS03C1PYDB0JNFBA,0989-puw-7394,NA,Debit Card,2,2024-02-08T00:00:00Z,2024-02-09T19:00:00Z,Shipped,SHIP00708
ORD-0037,01HQZS38WEDQXH6AW7MBAW6TFZ,9103-pfw-2928,NA,Debit Card,2,2024-02-29T00:00:00Z,2024-03-02T08:00:00Z,Shipped,SHIP00203
ORD-0038,01HQZS38XFN9XMV488HRR2PRNZ,6886-vkq-9248,NA,Debit Card,3,2024-02-04T00:00:00Z,2024-02-04T04:00:00Z,Delivered,SHIP00259
ORD-0039,01HQZS39MCNFGHS7MC9GTZ4HB9,1621-tzo-6773,ce1be4ba-d884-48e0-a88f-3495f2a1aaa1,Gift Card,5,2024-02-19T00:00:00Z,2024-02-21T04:00:00Z,Processing,SHIP00576
ORD-0040,01HQZS39FS52NS4NXF080CAZE9,5116-vjq-2956,NA,Debit Card,3,2024-02-14T00:00:00Z,2024-02-16T19:00:00Z,Out for Delivery,SHIP00507
ORD-0041,01HQZS38PMDVKB1S9SK6ZAJ6GG,6606-fox-4369,NA,Debit Card,5,2024-02-11T00:00:00Z,2024-02-12T12:00:00Z,Shipped,SHIP00052
ORD-0042,01HQZS39FS52NS4NXF080CAZE9,3381-fsr-2733,NA,Credit Card,3,2024-02-13T00:00:00Z,2024-02-15T21:00:00Z,Cancelled,NA
ORD-0043,01HQZS38XFN9XMV488HRR2PRNZ,3417-zjy-8973,e6940482-ce67-4558-b807-abcd736db07e,Gift Card,4,2024-02-23T00:00:00Z,2024-02-25T09:00:00Z,Shipped,SHIP00256
ORD-0044,01HQZS3ADQEN81VBF6DPCQ4K19,3182-bjo-1551,NA,Credit Card,5,2024-02-29T00:00:00Z,2024-03-01T10:00:00Z,Processing,SHIP00957
ORD-0045,01HQZS39CYBC3S62XKZ2B3B5VZ,6211-swd-9194,NA,PayPal,3,2024-02-18T00:00:00Z,2024-02-18T17:00:00Z,Processing,SHIP00364
ORD-0046,01HQZS3ACA7KDDAAZWS087T2JD,2901-cyy-6826,58791419-a994-4021-b6c9-5c73fbfba883,Gift Card,2,2024-02-01T00:00:00Z,2024-02-01T10:00:00Z,Shipped,SHIP00882
ORD-0047,01HQZS38ZHFH694QJXSH7VGGY7,9574-brk-9651,NA,PayPal,1,2024-02-24T00:00:00Z,2024-02-24T04:00:00Z,Delivered,SHIP00325
ORD-0048,01HQZS3ADAR9Z4QW94SJCE7WGJ,0239-sss-2251,NA,Debit Card,4,2024-02-14T00:00:00Z,2024-02-16T10:00:00Z,Shipped,SHIP00923
ORD-0049,01HQZS3A4PFHZCJBQ5JEN1Q9Y6,2130-djy-0035,NA,Debit Card,4,2024-02-17T00:00:00Z,2024-02-19T11:00:00Z,Out for Delivery,SHIP00663
ORD-0050,01HQZS3A60MK2C9GJEBKJ1T82V,0443-tnx-6485,0841117e-f5e6-4e04-ae22-8469194eaed9,Gift Card,3,2024-02-05T00:00:00Z,2024-02-06T08:00:00Z,Processing,SHIP00690
ORD-0051,01HQZS3A7SBWQ5J00MDQBSQZVM,9988-aoi-8438,NA,PayPal,4,2024-02-23T00:00:00Z,2024-02-25T21:00:00Z,Processing,SHIP00742
ORD-0052,01HQZS39NTPRK044E5R6BW75E7,4805-cpu-8275,NA,Credit Card,1,2024-02-02T00:00:00Z,2024-02-02T10:00:00Z,Shipped,SHIP00602
ORD-0053,01HQZS38RHAP1J8EZHKCEGWT7E,3182-bjo-1551,NA,NA,5,2024-02-22T00:00:00Z,2024-02-22T05:00:00Z,Pending Payment,NA
ORD-0054,01HQZS3A9MR2XV2FM0QJH2A70J,3182-bjo-1551,NA,Debit Card,5,2024-02-24T00:00:00Z,2024-02-24T01:00:00Z,Out for Delivery,SHIP00804
ORD-0055,01HQZS3AE36SXDAYSFRWCC3EDH,7013-smv-9960,NA,NA,1,2024-02-12T00:00:00Z,2024-02-14T02:00:00Z,Pending Payment,NA
ORD-0056,01HQZS3ACMRNXCXYEBVGYF4AH4,0168-sqp-9949,022e6ecb-7e3e-4423-9f6a-bdae192ea94b,Gift Card,4,2024-02-26T00:00:00Z,2024-02-27T23:00:00Z,Out for Delivery,SHIP00903
ORD-0057,01HQZS38X281N3C89KS61H3ZVS,4488-xnr-2917,NA,Credit Card,2,2024-02-19T00:00:00Z,2024-02-19T18:00:00Z,Cancelled,NA
ORD-0058,01HQZS39CYBC3S62XKZ2B3B5VZ,5546-xzt-7707,NA,PayPal,3,2024-02-21T00:00:00Z,2024-02-21T07:00:00Z,Out for Delivery,SHIP00369
ORD-0059,01HQZS38VP866REFGWD7JVN2RY,4584-tdj-8833,NA,NA,1,2024-02-25T00:00:00Z,2024-02-25T14:00:00Z,Pending Payment,NA
ORD-0060,01HQZS3A8D921V4PC8R1SCNXXA,8535-oih-1501,NA,NA,5,2024-02-08T00:00:00Z,2024-02-08T21:00:00Z,Pending Payment,NA
ORD-0061,01HQZS39DEQDTJC46WNPM76N2G,6895-qwg-9407,NA,NA,2,2024-02-21T00:00:00Z,2024-02-22T19:00:00Z,Pending Payment,NA
ORD-0062,01HQZS39E4SQTDS3T424YTX44F,8716-cfp-4500,NA,NA,2,2024-02-06T00:00:00Z,2024-02-07T20:00:00Z,Pending Payment,NA
ORD-0063,01HQZS3ACDJZD6QTEC132F7NSJ,4584-tdj-8833,NA,NA,4,2024-02-23T00:00:00Z,2024-02-24T09:00:00Z,Pending Payment,NA
ORD-0064,01HQZS39MCNFGHS7MC9GTZ4HB9,9377-uoq-1066,NA,PayPal,4,2024-02-14T00:00:00Z,2024-02-16T17:00:00Z,Delivered,SHIP00580
ORD-0065,01HQZS3ADNG53G44V6EN783QQD,5534-fql-1567,NA,Credit Card,2,2024-02-01T00:00:00Z,2024-02-03T10:00:00Z,Cancelled,NA
ORD-0066,01HQZS38S6V458Z042MDVYJ59D,1372-kfx-6860,NA,Debit Card,2,2024-02-17T00:00:00Z,2024-02-18T23:00:00Z,Processing,SHIP00150
ORD-0067,01HQZS3ADKTGF34K6XJEKBJCAP,8994-zxo-6452,NA,NA,4,2024-02-10T00:00:00Z,2024-02-12T13:00:00Z,Pending Payment,NA
ORD-0068,01HQZS38NM1G3K5K605GW27GF5,9468-tdt-5532,NA,Credit Card,5,2024-02-09T00:00:00Z,2024-02-09T11:00:00Z,Cancelled,NA
ORD-0069,01HQZS3A60MK2C9GJEBKJ1T82V,2969-cmd-8655,826e18b9-a24a-4fe2-8b45-7c8dff2d973e,Gift Card,3,2024-02-08T00:00:00Z,2024-02-08T03:00:00Z,Out for Delivery,SHIP00687
ORD-0070,01HQZS3AB1SQJB3H733WD5FQ67,2901-cyy-6826,e80e7ddd-699a-45a6-be44-5ec6e7ce803d,Gift Card,4,2024-02-10T00:00:00Z,2024-02-11T10:00:00Z,Shipped,SHIP00844
ORD-0071,01HQZS3AB1SQJB3H733WD5FQ67,9377-uoq-1066,NA,Credit Card,2,2024-02-19T00:00:00Z,2024-02-19T12:00:00Z,Delivered,SHIP00846
ORD-0072,01HQZS39D0XW2VA2B455P9HEE0,6331-fmm-8857,e80e7ddd-699a-45a6-be44-5ec6e7ce803d,Gift Card,3,2024-02-02T00:00:00Z,2024-02-02T20:00:00Z,Shipped,SHIP00383
ORD-0073,01HQZS38YBSDA3RJ0RT9AT3AA7,8415-qhe-4590,dee85586-ef34-495e-a69f-8a5cb139e9f4,Gift Card,1,2024-02-19T00:00:00Z,2024-02-21T11:00:00Z,Cancelled,NA
ORD-0074,01HQZS3A98YQAJT8W2FG6CQXH2,8612-swk-4072,NA,Credit Card,2,2024-02-07T00:00:00Z,2024-02-09T14:00:00Z,Shipped,SHIP00798
ORD-0075,01HQZS39EGQ1606P9RMN3PXQ0P,8994-zxo-6452,NA,Credit Card,5,2024-02-06T00:00:00Z,2024-02-07T14:00:00Z,Processing,SHIP00484
ORD-0076,01HQZS38ZHFH694QJXSH7VGGY7,9174-pjf-7215,NA,Debit Card,4,2024-02-02T00:00:00Z,2024-02-04T23:00:00Z,Out for Delivery,SHIP00328
ORD-0077,01HQZS38MSWSKPSJ47RTE0Z30C,5546-xzt-7707,623c535f-602f-48e6-a5a7-a5802586c06b,Gift Card,3,2024-02-07T00:00:00Z,2024-02-08T12:00:00Z,Out for Delivery,SHIP00025
ORD-0078,01HQZS38RHAP1J8EZHKCEGWT7E,0035-nrm-7502,59d6bf85-c506-4689-bfd8-928e75ac745a,Gift Card,2,2024-02-01T00:00:00Z,2024-02-03T14:00:00Z,Cancelled,NA
ORD-0079,01HQZS3A4PFHZCJBQ5JEN1Q9Y6,8415-qhe-4590,550e3caa-e3a8-4051-8f6a-308cbfde948b,Gift Card,5,2024-02-28T00:00:00Z,2024-02-28T08:00:00Z,Shipped,SHIP00660
ORD-0080,01HQZS38X281N3C89KS61H3ZVS,6895-qwg-9407,NA,PayPal,1,2024-02-10T00:00:00Z,2024-02-10T14:00:00Z,Delivered,SHIP00234
ORD-0081,01HQZS39FG5QBNT1QE1GE1RWWP,8396-fjt-9291,NA,Debit Card,1,2024-02-16T00:00:00Z,2024-02-18T09:00:00Z,Out for Delivery,SHIP00499
ORD-0082,01HQZS38VZCZNV804KD1PSRH1C,9639-sot-9274,NA,Debit Card,1,2024-02-08T00:00:00Z,2024-02-10T14:00:00Z,Cancelled,NA
ORD-0083,01HQZS3ACA7KDDAAZWS087T2JD,9639-sot-9274,776f7205-b97f-4894-bdae-d2f40c42a033,Gift Card,3,2024-02-29T00:00:00Z,2024-03-01T03:00:00Z,Processing,SHIP00876
ORD-0084,01HQZS38Z5N9EWH13VYQJ8BK9X,2183-bnm-4747,1f4b125e-da07-41ba-ac1f-38c737c0c072,Gift Card,2,2024-02-06T00:00:00Z,2024-02-08T07:00:00Z,Shipped,SHIP00303
